"","Acetatifactor_muris","Acutalibacter_muris","Adlercreutzia_equolifaciens","Akkermansia_muciniphila","Anaerotruncus_sp_G3_2012","Asaccharobacter_celatus","Bacteroides_thetaiotaomicron","Clostridium_cocleatum","Clostridium_sp_ASF502","Dorea_sp_5_2","Dubosiella_newyorkensis","Enterococcus_faecalis","Enterorhabdus_caecimuris","Firmicutes_bacterium_ASF500","Lachnospiraceae_bacterium_28_4","Lachnospiraceae_bacterium_3_2","Lachnospiraceae_bacterium_A2","Lachnospiraceae_bacterium_A4","Lachnospiraceae_bacterium_COE1","Lachnospiraceae_bacterium_M18_1","Lactobacillus_johnsonii","Lactococcus_lactis","Oscillibacter_sp_1_3","Parasutterella_excrementihominis","Proteobacteria_bacterium_CAG_139","Romboutsia_ilealis","Ruthenibacterium_lactatiformans","Staphylococcus_xylosus","Streptococcus_thermophilus","Terrisporobacter_othiniensis","1-palmitoleoylglycerol (16:1)*","laurate (12:0)","(14 or 15)-methylpalmitate (a17:0 or i17:0)","glyco-beta-muricholate**","5-dodecenoate (12:1n7)","myristoleate (14:1n5)","tauro-beta-muricholate","myristoylcarnitine (C14)","hexadecasphingosine (d16:1)*","X-23190","1-oleoylglycerol (18:1)","X-24658","palmitoylcarnitine (C16)","cholate","caprate (10:0)","N-stearoyl-phytosphingosine (t18:0/18:0)*","X-24359","cholesterol","taurodeoxycholate","1-heptadecenoylglycerol (17:1)*","1-myristoylglycerol (14:0)","myristate (14:0)","palmitoleate (16:1n7)","beta-muricholate","1-palmitoyl-GPC (16:0)"
"Acetatifactor_muris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7771566367435163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7389996443539405,0,-0.7169305609938166,0,0,0,0,0,0,0
"Acutalibacter_muris",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7114706011703055,0,0,0,0,0,0,0,0,0,0,0,-0.5920528525358898,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0,1,0,0,0.9973953811042218,0,0,0,0,0,0,0,0,0,0,-0.7320222937049728,0,0,0,0,0,0,0.7682075214853699,0,0,0,0,0,0,0,0,0,-0.6783590458213969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_muciniphila",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_sp_G3_2012",0,0,0,0,1,0,0,0,0,0,0,0,0.7626512909342434,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9507900474106273,0,0,-0.9507900474106273,0,0,0,0,0,0,0,0,0.6775713172487583,0,0,0,0.6665447137780244,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0.9973953811042218,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.760377553253569,0,0,0.7161086674138477,0,0,0,0.7625359878508774,0,0,0,0,0,0,0,0,0,-0.6729185355654367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_thetaiotaomicron",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6474040045442754,0,-0.6742217401122319,0.620671509615147,0,0,0,0,0,0,0,-0.7162370074315304,-0.6741548888453192,-0.6001776788933219,-0.6165181470204876,0,0
"Clostridium_cocleatum",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7324623158989406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5901825295730064,0,0,0,0,0,0,0,0,0,0.6552877560144378,0,0,0,0,0,0,0,0
"Clostridium_sp_ASF502",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7720019454527904,0,0,0,0,0,0,0.6797748316371653,0,0,-0.6188018834486095
"Dorea_sp_5_2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6107834624022481,0,0,0,0,0,0,0,0.5895033290043189,0,-0.613579591121203,0.7578362701154268,0,0,0,0,0,0,0,-0.5968819490053527,0,0,0,0,0
"Dubosiella_newyorkensis",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6285713482542885,0,0,0,0,0,0,-0.6350449770725123,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8453018614305965,0,0,0,0,0,0,0.7269743070441819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0.7626512909342434,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8875173218296962,0,0,-0.8875173218296963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7114121751748093,0,0,0,0,0,0.5898075279998478,0,0,0,0
